Date,Link,Title,Core Message,Excerpt,Suggested By
,Laziness is a dirty trick to defy the Truth || Acharya Prashant (2017),Laziness - A Disease Of Too Much Intelligence,Laziness is a disease of too much intelligence and narcissism.,"Laziness is not just a superficial refusal to work hard; it's a refusal to live and learn from life. And how can one refuse to learn from life unless one is actually too intelligent, and believes that he knows and has everything within his personal mind? So, laziness is a dirty means towards the protection of the ego. And the antidote is exploration.",Sudeep
,Can't say 'No'?,Make The Right Sacrifices For Your Loved Ones,Sacrifice is about giving up something relatively small for something higher.,"Sacrifice means giving up things of little value for the sake of something higher. Therefore, it is constructive and productive - not negating or renouncing. In fact, you can't create anything worthwhile without sacrificing something relatively worthless. But in real life, the value of things is not so easy to evaluate. This is where you require wisdom - a sound value system where freedom, truth, clarity, and compassion are of high value. So, if your sacrifice is not taking you in this direction, it will not help you nor the one receiving the sacrifice.",Sudeep
,The Fine Line Between Innocence and Foolishness!,"Are You Foolish, Clever, Or Innocent?",Innocence doesn't care for profit-making because the very problem that made you relate to the world in a profit-seeking way is gone.,"Foolishness is about maintaining the rotten ego and yet expecting a great life; but it does not make profits because it can't. In cleverness, you are still rotten, but you have managed to appear not rotten to others; so you start making profits, but they do not suffice for inner fulfillment. But in innocence, you can make profits, but don't care to; because you have realized that the very problem that made you relate to the world in a profit-seeking way is gone.",Sudeep
,How can the common man make better decisions in life-karma conversations,Spirituality is about the “What” not the “How”,Spirituality focuses on the What,"“What” makes us look squarely at the actor — Who is the actor? What’s his nature? When we say “How does the actor reach a goal” then we are not challenging the actor, we are guiding her to emerge out of her predicament staying as she is. That’s exactly what the actor wants—to not change. Therefore, all methods that focus on “how to” are not only bound to fail but actually deteriorate the situation.",Sneha
,Science vs Technology,"Technology Without Science & Wisdom 

Power Without Wisdom: The Peril of Technology",Difference b/w Science & Technology- ,"You need to know the world, which comes from science, and yourself, which comes from self-observation. Backwardness in science leads to inner darkness. Without science & self-knowledge, technology can be very dangerous. Inwardly, we are still monkeys, but technology gives us huge power—power we don’t deserve. If the rate of growth of wisdom lags behind the rate of growth of technology, then we are hurling towards disaster.",Sarita
,"The Female Body, Chastity and 'Rape Culture'",Why Is Rape Culture So Prevalent Today?,Rape culture is a result of unconscious human beings who have fallen below animals.,"Rape is not just sex without consent. Even if consent is out of fear or greed, the act should be called rape. And this is happening everywhere. Human beings can do much better or much worse than animals. Animals mate for the sake of reproduction, but rape, from the point of view of the rapist, is recreation or entertainment for pleasure. But if you are a conscious person, then even sex is for the sake of liberation.",Sudeep
,The Fine Line Between Innocence and Foolishness,"Foolishness is like a drunk robber, Innocence is a billionaire",Innocence and Foolishness,"Foolishness is like a drunk robber trying to execute a robbery, and returning starved and empty-handed. Innocence is a billionaire who has so much that he goes out every day with a huge truckload of cash and returns every evening empty-handed. The common thing is, both of them are seen returning empty-handed. Nothing else is common. Innocence is a choice of an elevated consciousness",Sneha
,"Porn and Guilt, Physical and Social Conditioning",Why Do I Feel Guilty About Sex?,"Morality:- Right and Wrong, Pornography and Sex Makes me feel ashamed.","You don’t understand what sex is about, so you can’t resist the body's temptation. You do it behind closed doors and feel ashamed if discovered. This comes from imported morality and borrowed ethics—a sense of right and wrong shaped by the environment. Only out of understanding there is freedom from influence. When you discover on your own that life must be lived this way, then will be no question of hiding, or feeling guilty about it.",Sarita
,Embracing Diversity and Unity Beyond Language and Culture,"Can Hindi Be The Language That Unites India?
OR
Can A Common Language Unite a Nation? ","Unity, Diversity, Hindi Imposition","As long as one tries to standardize or enforce something that varies from man to man, it will only create division, violence, and suffering. You have to focus on that which we all have in common. Something that unifies us so strongly that all the differences, become worthless. That unifying principle is our urge to rise, to know, and to be liberated from inner ignorance. ",Vadiraj
,A Life Like Bhagat Singh,"
How To Fight The Right Battle Like Bhagat Singh?",Fight the right battle,"Bhagat Singh was just about twenty-three when he laid down his life. His mother had approached him once, ‘You'll have to marry”. He said but I already am. To Freedom, Azadi. Some battles need to be fought just because they deserve to be fought. Not for the sake of victory but for the sake of the fight itself. Fight the right battle. ",Sneha
